genome_id	genome_name	taxon_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	vendor	testing_standard	testing_standard_year	source
573.12890	Klebsiella pneumoniae 103	573	amikacin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	ampicillin	Resistant	>16	>	16	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	ampicillin_sulbactam	Susceptible	8/4		8/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	aztreonam	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	cefazolin	Susceptible	2		2	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	cefepime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	cefoxitin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	ceftazidime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	ceftriaxone	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	cefuroxime	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	ciprofloxacin	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	gentamicin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	imipenem	Susceptible	<=0.25	<=	0.25	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	levofloxacin	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	meropenem	Susceptible	<=0.125	<=	0.125	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	piperacillin_tazobactam	Susceptible	4/4		4/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	tetracycline	Susceptible	2		2	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	tobramycin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12890	Klebsiella pneumoniae 103	573	trimethoprim_sulfamethoxazole	Susceptible	<=0.5/9.5	<=	0.5/9.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.67342	Klebsiella pneumoniae 103137	573	cefepime		0.25		0.25	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	cefepime_taniborbactam		0.06		0.06	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	ceftazidime_avibactam		<=0.25	<=	0.25	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	ceftolozane_tazobactam		>32	>	32	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	ertapenem		1		1	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	gentamicin		0.5		0.5	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	imipenem		1		1	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	imipenem_relebactam		<=0.12	<=	0.12	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	levofloxacin		0.5		0.5	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	meropenem		0.12		0.12	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	meropenem		<=0.06	<=	0.06	mg/L	MIC				CLSI	2018	
573.67342	Klebsiella pneumoniae 103137	573	piperacillin_tazobactam		>128	>	128	mg/L	MIC				CLSI	2018	
573.12935	Klebsiella pneumoniae 104	573	amikacin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	ampicillin	Resistant	>16	>	16	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	ampicillin_sulbactam	Susceptible	8/4		8/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	aztreonam	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	cefazolin	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	cefepime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	cefoxitin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	ceftazidime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	ceftriaxone	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	cefuroxime	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	ciprofloxacin	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	gentamicin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	imipenem	Susceptible	<=0.25	<=	0.25	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	levofloxacin	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
